;S;PSU;Met;Ribosome
172;0.7822825913080722;0.23233951320235924;0.9775052411636221;0.9997175332268448
173;0.782281137566539;0.23234093977115347;0.9775118029662266;0.9997243343935175
174;0.7822797236415696;0.2323423272676189;0.9775181851676026;0.9997309496659327
175;0.7822783455483059;0.23234367960212998;0.9775244056775308;0.9997373974219583
176;0.7822770027152085;0.23234499733554326;0.9775304670818334;0.9997436803592649
177;0.7822756741208501;0.23234630109636234;0.9775364637704762;0.9997498951039371
178;0.7822743829179034;0.23234756816467453;0.977542291823906;0.9997559353795273
179;0.7822731156708188;0.23234881172489766;0.9775480117524651;0.9997618631385431
180;0.7822718858718015;0.23235001853701745;0.9775535624753628;0.9997676159532497
181;0.7822706924679056;0.23235118963429852;0.9775589492674684;0.9997731992454623
182;0.7822695277450628;0.23235233258662094;0.9775642065991667;0.9997786483349136
183;0.782268396591625;0.2323534425970038;0.9775693125431306;0.9997839408296895
184;0.7822672953836334;0.23235452322166833;0.977574283384635;0.9997890934341755
185;0.7822662144364211;0.23235558396425995;0.977579162615457;0.9997941506881037
186;0.7822651597425403;0.23235661894423645;0.9775839233499934;0.9997990851233318
187;0.7822641274379967;0.23235763195336803;0.9775885829494148;0.999803914541811
188;0.7822631131477716;0.23235862728489717;0.977593161068244;0.9998086590910381
189;0.7822621246075733;0.2323595973477087;0.9775976229950945;0.9998132832928213
190;0.7822611643860984;0.23236053962111863;0.9776019572136281;0.9998177754001203
191;0.7822602297093041;0.23236145682731874;0.9776061761908387;0.9998221482036505
192;0.782259320220069;0.2323623493167549;0.9776102815437646;0.9998264033920586
193;0.7822584298466162;0.23236322304771323;0.9776143005417792;0.999830568899399
194;0.7822575581284897;0.232364078472043;0.9776182352647501;0.9998346468863247
195;0.7822567068020101;0.2323649138858782;0.977622077931209;0.9998386294227093
196;0.7822558716308746;0.23236573344633826;0.9776258475697656;0.9998425360086398
197;0.7822550522804856;0.23236653748176658;0.977629545694287;0.9998463682231582
198;0.7822542468042356;0.23236732790238582;0.9776331808683855;0.9998501348647673
199;0.782253473302433;0.2323680869462108;0.9776366724131381;0.9998537533931454
200;0.7822527176140853;0.23236882850954269;0.9776400833481732;0.9998572883368224
