condition;mu;density;run_time;converged;model;solver
18;0.140748448503103;1;0.528792142868042;1;C;gbapy
19;0.0969899412215601;1;0.627226829528809;1;C;gbapy
20;0.066295286565235;1;0.746738195419312;1;C;gbapy
21;0.0450409150508942;1;0.978286981582642;1;C;gbapy
22;0.0304629148882025;1;1.24117994308472;1;C;gbapy
23;0.0205339569614468;1;1.6858069896698;1;C;gbapy
24;0.0138062978910236;1;2.4341037273407;1;C;gbapy
25;0.00926520473549398;1;3.33105683326721;1;C;gbapy
1;2.25540433811035;1;1.58701109886169;1;D;gbapy
2;2.25457054279619;1;1.34680819511414;1;D;gbapy
3;2.25332151564038;1;1.32570481300354;1;D;gbapy
4;2.25145170871199;1;1.3663592338562;1;D;gbapy
5;2.24865535162606;1;1.35051584243774;1;D;gbapy
6;2.24447945201001;1;1.35837268829346;1;D;gbapy
7;2.23825700822254;1;1.49054384231567;1;D;gbapy
8;2.22901478535692;1;1.46125221252441;1;D;gbapy
9;2.21535164653743;1;1.31436491012573;1;D;gbapy
10;2.19528981775594;1;1.34928393363953;1;D;gbapy
11;2.16611701178058;1;1.31230807304382;1;D;gbapy
12;2.12426736157951;1;1.36856722831726;1;D;gbapy
13;2.06533583276124;1;1.34878182411194;1;D;gbapy
14;1.98437395527486;1;1.36177802085876;1;D;gbapy
15;1.87663805040656;1;1.34943890571594;1;D;gbapy
16;1.73888485519802;1;1.09874796867371;1;D;gbapy
17;1.58388982351928;1;4.93923997879028;1;D;gbapy
18;1.40247079418558;1;3.48998498916626;1;D;gbapy
19;1.20313756806175;1;3.39546608924866;1;D;gbapy
20;0.997694714567306;1;3.2210533618927;1;D;gbapy
21;0.799403109473624;1;3.30313014984131;1;D;gbapy
22;0.619853558229354;1;3.22199201583862;1;D;gbapy
23;0.466580610974066;1;3.60930204391479;1;D;gbapy
24;0.342339117832884;1;4.09197497367859;1;D;gbapy
25;0.24591694192596;1;4.528000831604;1;D;gbapy
1;0.85423075813673;1;10.8339211940765;1;EC12b;gbapy
2;0.853252686520897;1;10.0458958148956;1;EC12b;gbapy
3;0.852082929961386;1;10.0281908512115;1;EC12b;gbapy
4;0.850684840706544;1;11.1553931236267;1;EC12b;gbapy
5;0.849015156696518;1;10.8211569786072;1;EC12b;gbapy
6;0.847022973916384;1;8.83041596412659;1;EC12b;gbapy
7;0.844648629824586;1;9.83457899093628;1;EC12b;gbapy
8;0.841822522622969;1;10.283704996109;1;EC12b;gbapy
9;0.838463909337772;1;9.82230091094971;1;EC12b;gbapy
10;0.834479749960031;1;9.51216316223145;1;EC12b;gbapy
11;0.829763696574739;1;9.59792685508728;1;EC12b;gbapy
12;0.824195364625961;1;9.98815488815308;1;EC12b;gbapy
13;0.817640068154292;1;8.84351778030396;1;EC12b;gbapy
14;0.809949247469908;1;9.29775834083557;1;EC12b;gbapy
15;0.800961861866449;1;10.1743288040161;1;EC12b;gbapy
16;0.790507049308066;1;9.67819285392761;1;EC12b;gbapy
17;0.778408358179352;1;9.88975095748901;1;EC12b;gbapy
18;0.764489815289685;1;9.18111824989319;1;EC12b;gbapy
19;0.748583989348704;1;9.08032894134521;1;EC12b;gbapy
20;0.730542028951352;1;10.2033629417419;1;EC12b;gbapy
21;0.710245391245799;1;9.80978417396545;1;EC12b;gbapy
22;0.687618642645701;1;9.37221789360046;1;EC12b;gbapy
23;0.662642346139862;1;9.57830214500427;1;EC12b;gbapy
24;0.635364721045707;1;9.43089890480042;1;EC12b;gbapy
25;0.605910528580019;1;9.45881295204163;1;EC12b;gbapy
26;0.574485651953359;1;9.60125088691711;1;EC12b;gbapy
27;0.546355045385231;1;71.1810150146484;1;EC12b;gbapy
28;0.514058668487812;1;71.5338580608368;1;EC12b;gbapy
29;0.480595976407458;1;74.1302449703217;1;EC12b;gbapy
30;0.446377200143909;1;86.9454929828644;1;EC12b;gbapy
1;2.68310589043574;1;0.1;1;A;IPOPT
2;2.67868506280399;0.999999999999999;0.025;1;A;IPOPT
3;2.67208485491899;1;0.02;1;A;IPOPT
4;2.66225366184399;1;0.028;1;A;IPOPT
5;2.64766005109115;1;0.025;1;A;IPOPT
6;2.6261066256929;0.999999999999999;0.023;1;A;IPOPT
7;2.59450996224698;0.999999999999999;0.025;1;A;IPOPT
8;2.54868690117361;1;0.031;1;A;IPOPT
9;2.48324793010786;1;0.026;1;A;IPOPT
10;2.3917908106055;0.999999999999999;0.014;1;A;IPOPT
11;2.26767921096543;1;0.021;1;A;IPOPT
12;2.10567295817819;1;0.02;1;A;IPOPT
13;1.90436385004554;1;0.02;1;A;IPOPT
14;1.66866636975122;0.999999999999999;0.023;1;A;IPOPT
