condition;iter;t;dt;mu;doubling_time;density;consistent;mu_diff
70;28800;0.00932766;1.29112e-10;0.360107;2.25367;1;1;0
70;28900;0.00932768;2.58225e-10;0.360107;2.25367;1;1;0
70;29000;0.0093277;1.0329e-10;0.360107;2.25367;1;1;0
70;29100;0.00932772;2.0658e-10;0.360107;2.25367;1;1;0
70;29200;0.00932773;8.2632e-11;0.360107;2.25367;1;1;0
70;29300;0.00932775;1.65264e-10;0.360107;2.25367;1;1;0
70;29400;0.00932777;3.30528e-10;0.360107;2.25367;1;1;0
70;29500;0.00932779;6.61056e-11;0.360107;2.25367;1;1;0
70;29600;0.0093278;1.32211e-10;0.360107;2.25367;1;1;0
70;29700;0.00932782;2.64422e-10;0.360107;2.25367;1;1;0
70;29800;0.00932786;5.28845e-10;0.360107;2.25367;1;1;0
70;29900;0.0093279;2.11538e-10;0.360107;2.25367;1;1;0
70;30000;0.00932791;8.46152e-11;0.360107;2.25367;1;1;0
70;30100;0.00932792;1.6923e-10;0.360107;2.25367;1;1;0
70;30200;0.00932795;3.38461e-10;0.360107;2.25367;1;1;0
70;30300;0.00932798;1.35384e-10;0.360107;2.25367;1;1;0
70;30400;0.009328;2.70769e-10;0.360107;2.25367;1;1;0
70;30500;0.00932802;1.08307e-10;0.360107;2.25367;1;1;0
70;30600;0.00932803;2.16615e-10;0.360107;2.25367;1;1;0
70;30700;0.00932805;8.66459e-11;0.360107;2.25367;1;1;0
70;30800;0.00932806;1.73292e-10;0.360107;2.25367;1;1;0
70;30900;0.00932807;6.93167e-11;0.360107;2.25367;1;1;0
70;31000;0.00932808;1.38633e-10;0.360107;2.25367;1;1;0
70;31100;0.0093281;2.77267e-10;0.360107;2.25367;1;1;0
70;31200;0.00932813;1.10907e-10;0.360107;2.25367;1;1;0
70;31300;0.00932814;2.21814e-10;0.360107;2.25367;1;1;0
70;31400;0.00932817;4.43627e-10;0.360107;2.25367;1;1;0
70;31500;0.00932818;3.54902e-12;0.360107;2.25367;1;1;0
70;31600;0.00932818;7.09803e-12;0.360107;2.25367;1;1;0
70;31700;0.00932818;1.41961e-11;0.360107;2.25367;1;1;0
70;31800;0.00932818;2.83921e-11;0.360107;2.25367;1;1;0
70;31900;0.00932819;5.67843e-11;0.360107;2.25367;1;1;0
70;32000;0.0093282;1.13569e-10;0.360107;2.25367;1;1;0
70;32100;0.00932822;2.27137e-10;0.360107;2.25367;1;1;0
70;32200;0.00932823;9.08548e-11;0.360107;2.25367;1;1;0
70;32300;0.00932825;1.8171e-10;0.360107;2.25367;1;1;0
70;32400;0.00932826;7.26839e-11;0.360107;2.25367;1;1;0
70;32500;0.00932827;1.45368e-10;0.360107;2.25367;1;1;0
70;32600;0.0093283;2.90735e-10;0.360107;2.25367;1;1;0
70;32700;0.00932831;1.16294e-10;0.360107;2.25367;1;1;0
70;32800;0.00932833;2.32588e-10;0.360107;2.25367;1;1;0
70;32900;0.00932837;9.30354e-11;0.360107;2.25367;1;1;0
70;33000;0.00932838;1.86071e-10;0.360107;2.25367;1;1;0
70;33100;0.0093284;7.44283e-11;0.360107;2.25367;1;1;0
70;33200;0.0093284;1.48857e-10;0.360107;2.25367;1;1;0
70;33300;0.00932842;2.97713e-10;0.360107;2.25367;1;1;0
70;33400;0.00932845;5.95426e-10;0.360108;2.25367;1;1;0
70;33500;0.00932847;1.19085e-10;0.360108;2.25367;1;1;0
70;33600;0.00932849;2.38171e-10;0.360108;2.25367;1;1;0
